claim_id,chapter,claim_text,claim_strength,primary_evidence,secondary_evidence,equation_or_metric,supported_scope,limitation,status,advisor_decision_needed
CLM-01,6,両ケースで264便すべてを割り当てた,direct,docs/evidence/weather_dispatch_rerun_bb0c005/result_summary.json,physical_schedule_validation.json,assigned_trips=264;unassigned=0,当該2ケース,一般の任意日へ外挿不可,SUPPORTED,no
CLM-02,6,両ケースの独立物理検算がVALIDである,direct,docs/evidence/weather_dispatch_rerun_bb0c005/result_summary.json,physical_schedule_validation.json,physical_validation_status,当該固定入力,実運用可能性の証明ではない,SUPPORTED,no
CLM-03,6,両ケースで24時間Rollingの24ステップを受理した,direct,docs/evidence/weather_dispatch_rerun_bb0c005/result_summary.json,rolling_hourly_chain/rolling_summary.json,accepted_hours=24,当該保存run,予測誤差下の頑健性ではない,SUPPORTED,no
CLM-04,6,実行日会計が正本ledgerと1e-6 JPY以内で一致した,direct,docs/evidence/weather_dispatch_rerun_bb0c005/result_summary.json,rolling_hourly_chain/executed_day_accounting.json,accounting difference JPY,当該runのモデル内評価額,実支出またはLCCではない,SUPPORTED,no
CLM-05,6,SUNNYの実行日評価額は660983.7838045002 JPYである,direct,docs/evidence/weather_dispatch_rerun_bb0c005/result_summary.json,thesis_summary_table.md,executed_day_total_cost_jpy,保存されたモデル定義,統計的期待費用ではない,SUPPORTED,no
CLM-06,6,RAINの実行日評価額は698598.6286431606 JPYである,direct,docs/evidence/weather_dispatch_rerun_bb0c005/result_summary.json,thesis_summary_table.md,executed_day_total_cost_jpy,保存されたモデル定義,統計的期待費用ではない,SUPPORTED,no
CLM-07,6,RAINはSUNNYより37614.8448386603 JPY高い,derived_exact,docs/evidence/weather_dispatch_rerun_bb0c005/result_summary.json,cost_breakdown.md,RAIN minus SUNNY,固定反実仮想対,一般的雨天効果ではない,SUPPORTED,no
CLM-08,6,差額の主要因は燃料33054.0321902655 JPYである,derived_exact,docs/evidence/weather_dispatch_rerun_bb0c005/result_summary.json,cost_breakdown.md,cost component difference,当該費用分解,因果効果を同定しない,SUPPORTED,no
CLM-09,6,SUNNYはBEV199便 ICE65便を担当した,direct,docs/evidence/weather_dispatch_rerun_bb0c005/result_summary.json,selected_candidate.json,bev_trips;ice_trips,選択された候補,最適な車種配分ではない,SUPPORTED,no
CLM-10,6,RAINはBEV91便 ICE173便を担当した,direct,docs/evidence/weather_dispatch_rerun_bb0c005/result_summary.json,selected_candidate.json,bev_trips;ice_trips,選択された候補,最適な車種配分ではない,SUPPORTED,no
CLM-11,6,SUNNYは28 BEVと4 ICEを使用した,direct,docs/evidence/weather_dispatch_rerun_bb0c005/result_summary.json,selected_candidate.json,used_bev;used_ice,選択された候補,設備必要台数の一般結論ではない,SUPPORTED,no
