equation_id,meaning,implementation_file,class_or_function,implementation_variable,artifact,test,implementation_status,notes
EQ-CONNECT-01,折返しと回送を含む便接続可能性,src/optimization/milp/model_builder.py;src/optimization/milp/solver_adapter.py,_transition_feasible;feasible_connections,arc_pairs,physical_schedule_validation.json,tests/test_solution_validity.py,EXACT,不可接続は変数生成前に除外
EQ-OBJ-S1-01,Stage 1近似目的,src/optimization/milp/solver_adapter.py,_add_stage1_time_indexed_energy_recourse_relaxation;_solve_stage1_stage2,objective1,solver_metrics.json,tests/test_integrated_actual_cost_objective.py,APPROXIMATED,論文式は実装成分を集約して記載
EQ-COVER-S1-02,各便の一意割当,src/optimization/milp/solver_adapter.py,_solve_stage1_stage2,y;cover_,selected_candidate.json,tests/test_integrated_actual_cost_objective.py,EXACT,formal Phase 3は等式
EQ-FLOW-S1-03,便鎖フロー保存,src/optimization/milp/solver_adapter.py,_solve_stage1_stage2,x;start_arc;end_arc,y,tests/test_integrated_actual_cost_objective.py,EXACT,incoming+start=y=outgoing+end
EQ-USE-S1-04,車両使用との連結,src/optimization/milp/solver_adapter.py,_solve_stage1_stage2,used_vehicle;used_vehicle_day,selected_candidate.json,tests/test_bev_composition_search_not_fixed_total.py,EXACT,
EQ-OVERLAP-S1-05,重複便禁止,src/optimization/milp/solver_adapter.py,_solve_stage1_stage2,y,physical_schedule_validation.json,tests/test_solution_validity.py,EXACT,
EQ-FUEL-ICE-06,ICE燃料遷移,src/optimization/milp/solver_adapter.py,_solve_gurobi,fuel_l_var;refuel_l_var,summary.json,tests/test_integrated_actual_cost_objective.py,EXACT,Phase 3実行日燃料会計は距離ベース在庫評価
EQ-FUEL-ICE-07,ICE燃料上下限,src/optimization/milp/solver_adapter.py,_solve_gurobi,fuel_l_var,physical_schedule_validation.json,tests/test_integrated_actual_cost_objective.py,EXACT,
EQ-SELECT-08,有限候補内の決定論的選択,src/optimization/milp/solver_adapter.py,_phase3_candidate_selection_key,canonical_actual_cost_jpy;used_vehicle_count;assignment_hash,cross_weather_fixed_dispatch_matrix.json,tests/test_integrated_actual_cost_objective.py,EXACT,大域選択ではない
EQ-SOC-BEV-09,BEV SOC遷移,src/optimization/milp/solver_adapter.py,_vehicle_soc_transition_kwh,s_var;c_var;trip_load_by_vehicle_slot,vehicle_soc_event_timeline.csv,tests/test_milp_soc_validator_roundtrip.py,EXACT,15分開始状態と走行消費
EQ-SOC-BEV-10,BEV SOC上下限,src/optimization/milp/solver_adapter.py,_solve_stage1_stage2,s_var,physical_schedule_validation.json,tests/test_solution_validity.py,EXACT,
EQ-CHARGE-11,充電ONと車両定格,src/optimization/milp/solver_adapter.py,_solve_stage1_stage2,charge_on_var;c_var,optimization_parameters.json,tests/test_integrated_actual_cost_objective.py,EXACT,
EQ-CHARGER-12,車両と物理充電器の割当,src/optimization/milp/solver_adapter.py,_add_physical_charger_assignment,physical_charger_assignment_var;physical_charger_power_var,scenario_input_snapshot.json,tests/test_integrated_actual_cost_objective.py,EXACT,
EQ-CHARGER-13,充電器ポートと出力上限,src/optimization/milp/solver_adapter.py,_add_physical_charger_assignment,charger_assignment;charger_power,physical_schedule_validation.json,tests/test_solution_validity.py,EXACT,10基各1ポート90kW
EQ-POWER-14,車両充電源収支,src/optimization/milp/solver_adapter.py,_solve_stage1_stage2,g2vehicle_var;pv2vehicle_var;bess2vehicle_var,evidence_supplements/*96_slot*.csv,tests/test_integrated_actual_cost_objective.py,EXACT,
EQ-POWER-15,営業所電力源集約,src/optimization/milp/solver_adapter.py,_solve_stage1_stage2,g2bus_var;pv2bus_var;bess2bus_var,executed_day_accounting.json,tests/test_final_rolling_accounting.py,EXACT,
EQ-PV-16,PV分配収支,src/optimization/milp/solver_adapter.py,_solve_stage1_stage2,pv2bus_var;pv2bess_var;pv_curt_var,executed_day_accounting.json,tests/test_integrated_actual_cost_objective.py,EXACT,
EQ-GRID-17,受電収支と上限,src/optimization/milp/solver_adapter.py,_solve_stage1_stage2,grid_import_var;g2bus_var;g2bess_var,scenario_input_snapshot.json,tests/test_integrated_actual_cost_objective.py,EXACT,正本はoverage penaltyを許す設定かをartifactで確認する必要あり
