parameter,value,unit,artifact_source,origin_status,uncertainty_to_resolve,planned_sensitivity
BEV energy consumption,1.316,kWh/km,docs/evidence/weather_dispatch_rerun_bb0c005_parameter_sources/SUNNY/scenario_input_snapshot.json::prepared_inventory.vehicles[].energyConsumption,configured input; empirical or literature justification not established in this task,load and HVAC and congestion variability,+10% fixed-plan stress then separately reoptimization
ICE fuel economy,4.52,km/L,docs/evidence/weather_dispatch_rerun_bb0c005_parameter_sources/SUNNY/scenario_input_snapshot.json::prepared_inventory.vehicles[].fuelEfficiencyKmPerL,configured input; empirical justification unverified,route-specific fuel performance,+10% consumption means divide km/L by 1.1
Trip service distance,per trip,km,output/prepared_inputs/<scenario>/<frozen prepared ID>.json::trips[].distance_km,trip_stop_sequence_polyline_haversine; derived from stop coordinates,not observed road odometer distance; deadhead excluded from new share table,source validation before sensitivity
BEV battery capacity,314,kWh,docs/thesis/authoring_v1/05_assumptions_parameters_units.md::BEV電池,configured vehicle specification,vehicle specification source not independently verified here,not first priority
BEV SOC range,20-90,percent,docs/thesis/authoring_v1/05_assumptions_parameters_units.md::BEV SOC,model assumption,operating reserve policy,initial SOC or energy stress
BEV terminal SOC,return_to_initial,policy,docs/thesis/authoring_v1/05_assumptions_parameters_units.md::BEV終端,comparability assumption,cyclic day boundary may affect solar storage,use same rule in all baselines
Charger inventory,10 x 90,kW; one port each,docs/evidence/weather_dispatch_rerun_bb0c005_parameter_sources/SUNNY/scenario_input_snapshot.json::persisted_scenario.chargers,equipment scenario assumption,not a demonstrated real depot installation,one charger unavailable
Grid import limit,200,kW,docs/thesis/authoring_v1/05_assumptions_parameters_units.md::受電上限,equipment scenario assumption,connection feasibility and investment outside scope,after P0
PV rating,1000,kW,docs/thesis/authoring_v1/05_assumptions_parameters_units.md::PV定格,equipment scenario assumption,roof area and capital cost outside scope,PV availability factor separately
BESS capacity and power,6000;900,kWh;kW,docs/thesis/authoring_v1/05_assumptions_parameters_units.md::BESS,equipment scenario assumption,installation and cost justification unresolved,after P0
BESS SOC range,1200-4800,kWh,docs/thesis/authoring_v1/05_assumptions_parameters_units.md::BESS SOC,model assumption,usable energy fraction and reserve policy,keep fixed in initial comparisons
BESS initial and terminal SOC,3000;3000,kWh,docs/thesis/authoring_v1/05_assumptions_parameters_units.md::BESS初期・終端,cyclic boundary assumption,benefits depend on day boundary,keep fixed in initial comparisons
Grid energy price,30,JPY/kWh,docs/thesis/authoring_v1/05_assumptions_parameters_units.md::電力単価,flat-price model assumption,not observed full utility invoice,price sensitivity after P0
Diesel price,150,JPY/L,docs/thesis/authoring_v1/05_assumptions_parameters_units.md::軽油単価,model assumption,price variability,+20% independently
Vehicle usage charge,20000,JPY/used bus day,docs/thesis/authoring_v1/05_assumptions_parameters_units.md::車両使用費,model evaluation coefficient,not demonstrated cash expense; changes with used count,coefficient sensitivity independently
CO2 price,1,JPY/kg,docs/thesis/authoring_v1/05_assumptions_parameters_units.md::CO2価格,model assumption,small coefficient in these cases,lower priority
